,PLAYER,TEAM,AGE,GP,W,L,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS
0,Domantas Sabonis,IND,25,31,13,18,1057.0,21.2,24.3,19.2,8.7,9.8,35.1,36.1,45.3,34.3,36.8,24.4,28.9,21.1,9.8,24.0,24.2,37.2,24.1
1,Gordon Hayward,CHA,31,31,16,15,1052.0,21.3,21.0,20.8,18.5,17.9,31.2,27.4,11.7,17.5,16.1,20.8,22.3,12.3,15.8,16.5,12.8,27.2,22.1
2,Jonas Valanciunas,NOP,29,31,10,21,980.0,24.2,28.6,23.9,14.3,11.0,31.5,31.0,46.6,36.5,39.0,15.0,23.4,12.2,40.0,21.1,24.9,32.3,27.5
3,Kelly Oubre Jr.,CHA,26,31,16,15,903.0,22.1,24.2,24.4,33.8,33.9,13.8,16.3,17.5,14.7,15.4,8.7,14.4,22.2,9.3,22.6,21.8,16.4,23.9
4,Miles Bridges,CHA,23,31,16,15,1135.0,21.9,22.0,22.3,17.8,21.1,27.6,27.1,16.6,23.9,22.2,19.0,19.5,17.2,22.8,22.1,18.2,24.0,22.1
5,Nickeil Alexander-Walker,NOP,23,31,10,21,877.0,23.9,21.9,26.0,29.2,32.3,15.5,16.3,13.4,14.2,13.9,18.1,17.7,22.6,15.7,29.4,16.2,15.1,21.8
6,Pat Connaughton,MIL,28,31,19,12,910.0,14.4,18.2,16.3,30.0,25.5,8.4,8.1,12.9,18.7,17.3,10.0,9.5,20.9,13.3,6.6,14.4,10.2,18.3
7,Buddy Hield,SAC,29,30,12,18,857.0,22.7,21.9,25.2,48.2,43.4,15.2,13.3,10.1,16.6,14.8,15.6,19.8,20.0,10.4,19.4,16.6,12.0,23.7
8,Carmelo Anthony,LAL,37,30,16,14,828.0,18.6,19.2,21.3,32.6,30.2,19.8,18.2,15.3,15.9,15.8,7.0,8.9,17.5,19.8,9.5,19.0,17.2,20.8
9,Deni Avdija,WAS,20,30,15,15,642.0,13.9,14.1,15.2,21.1,20.6,10.8,11.5,19.7,24.6,23.6,12.6,10.8,21.1,31.4,15.1,26.2,11.0,14.1
10,Desmond Bane,MEM,23,30,19,11,863.0,21.7,25.6,24.8,37.5,32.2,12.0,10.4,6.9,18.4,15.5,15.8,16.5,15.1,12.0,18.6,21.3,9.0,24.8
11,Dewayne Dedmon,MIA,32,30,18,12,516.0,15.1,18.0,14.8,6.4,4.3,18.7,19.9,44.5,36.6,38.7,9.7,17.0,18.6,41.9,25.8,33.3,19.1,16.6
12,Duncan Robinson,MIA,27,30,18,12,849.0,17.5,17.2,20.3,36.6,38.1,7.4,8.0,6.3,15.8,13.5,9.7,9.4,18.0,17.4,17.0,24.3,8.0,18.2
13,Franz Wagner,ORL,20,30,5,25,966.0,19.7,22.1,21.3,17.2,15.6,19.5,18.6,18.7,13.6,14.8,18.9,13.6,25.2,13.4,28.2,18.6,16.4,21.2
14,Grayson Allen,MIL,26,30,18,12,875.0,16.5,18.0,18.8,33.3,29.6,12.2,10.5,7.5,13.7,12.4,8.7,9.4,16.1,12.8,16.8,14.7,9.9,19.3
15,Jusuf Nurkic,POR,27,30,12,18,752.0,21.4,24.3,19.4,2.6,4.1,34.4,35.3,54.5,40.4,43.1,19.6,29.0,28.8,19.5,27.6,33.6,34.2,23.4
16,Kentavious Caldwell-Pope,WAS,28,30,15,15,871.0,16.8,16.4,18.2,33.1,28.0,13.6,12.1,11.4,14.4,13.8,11.3,14.1,33.9,12.1,15.9,16.6,14.2,17.6
17,Larry Nance Jr.,POR,28,30,12,18,650.0,12.8,14.9,12.9,6.9,9.3,10.9,14.8,30.8,26.2,27.3,16.3,13.1,25.0,16.4,9.7,17.3,16.8,13.3
18,Montrezl Harrell,WAS,27,30,15,15,779.0,20.1,25.5,19.1,1.3,1.8,37.3,38.3,48.9,28.2,32.2,16.9,16.8,15.7,37.0,26.0,19.9,33.4,25.1
19,Myles Turner,IND,25,30,13,17,887.0,16.7,18.5,16.9,24.6,21.7,20.2,21.9,24.9,27.7,27.1,6.8,15.4,13.0,68.5,11.1,21.7,21.2,19.4
20,P.J. Tucker,MIA,36,30,18,12,856.0,11.1,13.4,11.9,15.9,12.7,5.1,5.4,26.5,20.7,22.1,14.3,10.6,16.7,21.7,9.0,19.2,12.1,12.5
21,Ricky Rubio,CLE,31,30,18,12,850.0,22.9,18.1,22.7,22.4,23.8,24.1,22.9,6.4,16.8,14.4,43.4,29.8,27.7,5.5,25.0,22.3,24.4,19.6
22,Robert Covington,POR,31,30,12,18,822.0,11.7,10.8,12.7,19.7,20.7,1.1,0.8,12.6,21.9,20.1,9.2,14.1,27.8,40.0,10.0,22.7,4.7,10.4
23,Russell Westbrook,LAL,33,30,16,14,1078.0,26.5,24.0,24.5,15.4,16.1,31.4,33.3,17.6,23.9,22.6,48.0,39.2,18.3,5.3,38.5,20.5,28.3,24.2
24,Steven Adams,MEM,28,30,19,11,754.0,13.0,11.6,10.2,0.0,0.0,22.5,29.1,57.3,26.0,34.3,21.4,22.4,17.9,23.4,18.8,19.3,29.5,12.0
25,Tyus Jones,MEM,25,30,19,11,634.0,14.8,17.0,16.1,18.5,15.5,12.1,10.2,5.2,15.9,13.2,36.3,13.6,20.5,2.5,12.8,5.2,12.9,16.5
26,Wendell Carter Jr.,ORL,22,30,5,25,865.0,18.2,21.8,19.1,18.3,17.9,16.5,18.0,37.7,36.7,36.9,18.8,15.4,15.5,20.9,17.4,23.0,21.0,20.6
27,Aaron Gordon,DEN,26,29,15,14,945.0,18.0,18.5,17.8,12.6,13.3,25.3,25.4,34.2,15.5,19.0,12.1,17.8,13.1,29.6,24.2,16.6,22.9,18.7
28,Aaron Holiday,WAS,25,29,14,15,478.0,17.7,19.1,18.3,17.0,14.6,11.6,11.2,4.8,13.0,11.4,23.9,22.7,26.7,15.1,15.0,23.4,15.4,17.7
29,Andre Drummond,PHI,28,29,14,15,571.0,16.4,15.3,13.7,0.0,0.3,17.9,25.8,68.8,47.7,52.8,20.8,32.2,28.0,44.9,26.2,30.6,26.2,14.0
30,Andrew Wiggins,GSW,26,29,24,5,901.0,23.6,26.5,25.3,23.9,20.8,24.0,25.2,18.0,13.8,14.7,9.8,15.6,13.6,19.6,25.4,13.9,27.6,25.8
31,Chris Duarte,IND,24,29,13,16,843.0,20.7,19.8,22.2,28.7,26.2,12.7,13.3,9.5,16.7,15.1,14.0,18.7,22.0,3.8,22.6,14.9,15.6,19.7
32,Clint Capela,ATL,27,29,14,15,864.0,15.1,18.9,15.9,0.0,0.2,13.0,20.5,57.2,40.3,44.4,8.9,8.5,19.7,51.7,18.1,21.4,17.1,16.1
33,Cody Martin,CHA,26,29,16,13,799.0,12.6,13.9,13.2,15.5,11.8,14.5,14.5,23.0,17.0,18.5,17.3,9.9,30.1,18.8,16.1,15.3,16.7,14.1
34,Davion Mitchell,SAC,23,29,12,17,744.0,18.3,18.9,20.7,19.6,20.2,8.0,8.7,9.7,10.9,10.6,31.9,14.0,17.1,9.1,16.9,19.7,9.9,17.3
35,De'Aaron Fox,SAC,23,29,12,17,993.0,27.5,26.9,27.5,14.0,17.7,32.8,33.9,7.0,13.1,11.7,31.5,26.2,28.0,13.3,23.9,19.6,32.3,26.7
36,Eric Bledsoe,LAC,32,29,16,13,766.0,17.8,16.8,17.4,13.5,15.2,19.1,19.9,12.5,16.9,15.9,28.2,23.0,29.2,18.6,16.7,14.9,23.4,16.7
37,Evan Fournier,NYK,29,29,13,16,815.0,19.4,20.3,21.2,30.7,29.8,12.6,12.6,7.4,11.3,10.5,13.0,16.2,24.0,6.8,10.8,17.2,10.1,20.6
38,Garrett Temple,NOP,35,29,10,19,532.0,13.5,13.1,14.0,25.0,22.4,13.3,12.8,14.5,16.9,16.2,12.0,14.1,32.9,34.1,11.3,22.0,14.2,14.5
39,Immanuel Quickley,NYK,22,29,13,16,633.0,20.6,19.3,22.4,29.6,32.6,19.5,17.2,7.9,12.7,11.5,26.5,17.8,17.8,2.6,14.9,22.3,16.5,20.6
40,Ivica Zubac,LAC,24,29,16,13,718.0,14.5,17.9,12.2,0.0,0.0,34.4,35.8,58.7,29.6,35.2,9.7,16.9,16.3,52.4,35.8,28.7,28.1,18.0
41,Jae'Sean Tate,HOU,26,29,9,20,816.0,19.1,21.8,19.5,11.4,12.5,21.5,21.1,33.3,19.3,22.3,23.8,18.6,22.9,22.1,23.4,27.8,19.9,20.5
42,Jaren Jackson Jr.,MEM,22,29,18,11,787.0,25.1,24.2,25.8,28.5,30.4,32.0,30.3,16.1,21.4,20.1,6.9,21.7,15.4,50.5,31.8,30.3,25.0,25.9
43,Jayson Tatum,BOS,23,29,14,15,1059.0,31.7,31.2,33.1,31.4,31.8,35.3,35.1,14.4,28.3,25.2,21.5,27.5,17.4,16.7,37.1,16.8,30.7,31.9
44,Jeff Green,DEN,35,29,15,14,732.0,16.3,16.2,15.9,13.6,13.7,27.2,26.0,11.2,14.9,14.3,9.0,15.2,7.7,25.9,14.6,26.4,21.1,17.4
